branch,status,evidence,next_gate
Configuration and access-order provenance,PASS,"all config/model/result hashes agree; DAS candidate generation opened zero network, catalog-time, or held-out tables",rerun any stale stage before scientific interpretation
Archive population and held-out interval seal,PASS,404 official events; 266 have complete primary-DAS windows; 6297.4 contiguous hours; 12 one-hour intervals selected from the manifest only,preserve the 12 held-out hours until a version-2 DAS coherence rule and event-level validation protocol are frozen
Single-catalog binary family labels,STOP,"14 exact shared IDs reveal two partition conflicts: the Waldhauser-Schaff target is split into M00413/M00414, while Michel M00414 merges target and former hard-negative IDs",report both catalog partitions and adjudicate them with independent waveform/location evidence
Frozen conventional-network verifier,CONDITIONAL,"12 historical events eligible; apparent training balanced accuracy 0.833, recall 1.000, precision 0.750; mechanics frozen before prospective scoring",do not tune version 1 on post-freeze outcomes; a future version needs a new split and a robust local-lag rule
Five routine-catalog proximity candidates,PASS,all five were scored by the frozen network model and rejected as target-family events; DAS waveforms opened by this stage: 0,"use DAS as an independent continuous candidate generator, not as a post-hoc check of location-only nominees"
Conventional M00413/M00414 partition resolution,STOP,pairwise correlation AUC 0.417; differential-lag AUC 0.630; event-bootstrap uncertainty is not identifiable with only two historical M00413 events,test preregistered deep-DAS spatial features on event-held-out members and controls
Published post-2014 continuation diagnostic,CONDITIONAL,3 of 4 Michel M00413/M00414 continuations pass the frozen verifier; one high-correlation event fails because the current lag statistic admits station cycle skips,retain this post-freeze result; design any robust lag version on a new development split
2026 deep-fiber cross-instrument opportunity,CONDITIONAL,event 75336682 passes the frozen network verifier and is strongly detected on deep DAS; same-fiber control 75343317 fails the verifier and the frozen DAS hard-negative test,call the family name provisional; compare near-source DAS features against historical/continuation templates
Deep channel geometry,STOP,"channel spacing and a channel-1702 hairpin convention exist, but no surveyed channel-to-MD/TVD/XYZ/cable-tangent table was found","obtain or reconstruct a surveyed geometry table before depth, source-distance, or directivity claims"
DAS detection/catalog extension,STOP,"the independent 50-minute DAS scan recovered 2/2 known local network events as score ranks 1 and 2 with 8/10 and 10/10 strong blocks, but produced 65 raw triggers and zero validated catalog extensions","freeze a development-tuned spatial-coherence version 2, then measure held-out event recovery and false discoveries against the full frozen network union"
DAS family-partition extension,STOP,"the catalog disagreement and weak conventional separation define the test, but held-out DAS spatial classification has not run",require improved event-held-out partition metrics without increased merge rate
Relative source size / stress drop,STOP,no same-epoch independently classified EGF pair and no passed corner-frequency/model gate,"response audit, same-path EGF ensemble, in-band corner, geometry/model sensitivity, and synthetic recovery"
Repeater-derived creep rate,STOP,"family membership, continuous completeness, event slip, and at least three complete recurrence intervals are not yet jointly constrained",attempt only after a validated DAS-assisted family extension and source-size model
